cantidad_leche_litros;temperatura_fermentacion;tiempo_fermentacion_horas;cantidad_cultivos_miligramos;tiempo_colado_horas;contenido_grasa_porcentaje;nivel_acidez_pH;cantidad_proteina_gramos;textura_puntuacion;sabor_puntuacion;nivel_calidad
62,02;43,97;4,79;35,85;3,16;8,18;4,02;6,8;4,22;5,94;4,5
31,38;42,42;6,44;42,39;1,96;6,05;4,08;6,61;6,07;8,5;5,31
89,24;38,0;8,91;61,73;3,11;4,89;4,33;5,53;1,51;1,96;2,89
94,8;43,72;8,87;55,38;2,24;3,66;4,19;4,41;6,72;6,37;4,55
90,16;44,17;8,44;41,36;2,66;5,08;4,45;6,58;8,0;9,78;5,94
76,31;36,61;9,98;53,05;1,75;8,1;4,43;6,12;2,83;7,16;4,36
47,33;42,63;6,85;68,78;4,19;6,29;4,18;4,88;4,63;4,64;3,93
33,97;42,96;12,65;52,23;1,86;5,3;4,34;6,2;7,62;6,5;5,16
35,55;36,04;7,34;54,38;3,26;3,21;4,49;5,59;6,13;3,37;4,04
89,04;39,03;6,95;47,78;3,54;3,26;4,04;4,88;6,46;9,03;5,09
94,25;41,55;6,35;44,63;3,77;5,31;4,46;5,85;7,12;2,75;4,22
72,87;44,89;7,74;50,18;1,38;3,73;4,25;6,07;1,87;4,72;3,6
37,58;37,03;10,09;42,68;3,57;5,68;4,26;7,07;4,87;5,21;4,54
25,87;37,03;7,29;32,35;3,01;7,85;4,39;4,38;8,77;8,38;5,44
87,3;42,04;4,65;61,9;2,74;7,48;4,48;5,08;8,86;4,25;4,75
39,34;38,6;6,44;38,33;3,33;4,43;4,49;4,97;3,64;3,61;3,49
82,19;42,99;8,48;48,52;3,27;4,45;4,07;6,9;3,65;5,77;4,31
40,87;41,49;9,44;36,78;2,87;9,22;4,14;5,68;1,55;3,4;3,28
62,72;41,28;9,14;59,38;3,61;5,98;4,2;7,0;2,52;3,94;3,79
70,11;35,72;8,94;47,74;4,07;5,42;4,17;5,03;4,96;8,12;4,7
52,24;43,68;7,86;43,54;1,32;9,06;4,45;5,84;4,17;3,11;3,78
37,8;38,81;4,33;54,65;1,52;9,28;4,13;5,74;2,04;2,15;3,14
43,91;42,47;11,17;65,65;2,98;5,03;4,27;6,13;4,63;4,92;4,23
85,48;43,44;9,34;59,83;3,09;7,01;4,19;5,52;7,85;1,17;4,03
63,22;37,17;9,21;60,01;2,69;8,88;4,35;5,61;6,01;1,07;3,71
48,65;39,7;7,79;51,62;3,17;8,46;4,43;6,75;5,61;3,14;4,24
